username, created_at, lng, lat, text,,,,
CrandallJaime, Thu Apr 23 21:17:29 +0000 2020,-113.577765,37.085582, @Zak_Bagans return to Riviera is on right now. I have been to that dark place. Clawed my way out. #iwanttohuntwithGA https://t.co/s7rWobbpeH ,,,,
eric_souksouk, Thu Apr 23 21:17:29 +0000 2020,-95.446486,29.838495, @cindaquil_ Yah I got T for turbulent too lol ,,,,
adri16, Thu Apr 23 21:17:29 +0000 2020,-118.411907,34.020789, Wealth spirals upwards to the elites &amp; northwards to the industrialized north in the form of resources from.#Africa… https://t.co/t90OvTtxP0 ,,,,
McLovinDenise, Thu Apr 23 21:17:29 +0000 2020,-122.171287,47.231717, @Jassong010 @RealPLUTim @CheezieBreezie @PacifcNorthBest @ICC_99 @irliteach @tnjordon @Phil_JKD @jennwagers7… https://t.co/VPGoLZIVfN ,,,,
JehovahTh1kness, Thu Apr 23 21:17:30 +0000 2020,-80.926628,33.63114, I’m gonna kms one day lol just not today tho ,,,,
RobIsRandomAF_6, Thu Apr 23 21:17:30 +0000 2020,-83.804475,27.698682, @gotsuspended4 @TibbsCallmemr @SJW_Hoe @britshaniece @PillowPrincesse 😂😂😂😂😂😂😂😂😂 ,,,,
FloridaBengals, Thu Apr 23 21:17:30 +0000 2020,-82.672903,27.79572, Nah I'm good. ,,,,
LuckysLasVegas, Thu Apr 23 21:17:30 +0000 2020,-115.135165,36.060964, As of today I've helped do 77 successful unemployment applications. Except for the inconvenience of having to fax s… https://t.co/vvJ9kbk0SP ,,,,
NWSSevereTstorm, Thu Apr 23 21:17:30 +0000 2020,-88.24614,32.1296, Severe Thunderstorm Warning including Butler AL, Lisman AL, Pennington AL until 5:00 PM CDT https://t.co/wreuNzCc2r ,,
BradEYoung, Thu Apr 23 21:17:29 +0000 2020,-118.411907,34.020789, TODAY! @HOTWaterMovie Now Streaming On Demand @Vimeo! https://t.co/DPrKzMHAWL…@Mr_Max_Adler #HotWaterMovie… https://t.co/xT9SqeDbXY ,,,,
Grimm714, Thu Apr 23 21:17:30 +0000 2020,-117.924892,33.889347, And this is in GENERAL. If you feel some type of way from this , that’s on you not me,If the shoe fits well… https://t.co/HYMrnAf5fc ,,
adamilenich, Thu Apr 23 21:17:30 +0000 2020,-73.205993,41.465282, @stephvnie7 there she is! 🤩 ,,,,
